Actor,Achiever,Group,Course,Time,Action
1,High,1.0,A,2025-01-01 08:27:07.712698221,cohesion
1,High,1.0,A,2025-01-01 08:57:31.712698221,consensus
2,High,1.0,A,2025-01-01 08:39:04.712698221,consensus
3,High,1.0,A,2025-01-01 08:24:45.712698221,consensus
3,High,1.0,A,2025-01-01 08:43:47.712698221,emotion
3,High,1.0,A,2025-01-01 09:01:11.712698221,emotion
3,High,1.0,A,2025-01-01 09:16:53.712698221,emotion
3,High,1.0,A,2025-01-01 09:32:31.712698221,consensus
3,High,1.0,A,2025-01-01 09:58:30.712698221,discuss
4,High,1.0,A,2025-01-01 08:41:51.712698221,synthesis
4,High,1.0,A,2025-01-01 09:03:59.712698221,plan
5,High,1.0,A,2025-01-01 08:28:19.712698221,cohesion
6,High,1.0,A,2025-01-01 08:47:40.712698221,plan
6,High,1.0,A,2025-01-01 09:06:29.712698221,plan
6,High,1.0,A,2025-01-01 09:22:17.712698221,cohesion
7,High,1.0,A,2025-01-01 08:30:29.712698221,discuss
8,High,1.0,A,2025-01-01 08:35:50.712698221,discuss
8,High,1.0,A,2025-01-01 08:49:19.712698221,monitor
8,High,1.0,A,2025-01-01 09:08:15.712698221,coregulate
8,High,1.0,A,2025-01-01 09:27:04.712698221,consensus
8,High,1.0,A,2025-01-01 09:54:37.712698221,plan
10,High,1.0,A,2025-01-01 08:26:43.712698221,cohesion
11,High,2.0,A,2025-01-01 08:43:14.076192141,plan
11,High,2.0,A,2025-01-01 09:02:07.076192141,emotion
11,High,2.0,A,2025-01-01 09:23:36.076192141,discuss
11,High,2.0,A,2025-01-01 09:35:52.076192141,plan
12,High,2.0,A,2025-01-01 08:38:32.076192141,consensus
12,High,2.0,A,2025-01-01 08:58:57.076192141,discuss
12,High,2.0,A,2025-01-01 09:18:54.076192141,cohesion
12,High,2.0,A,2025-01-01 09:42:00.076192141,plan
12,High,2.0,A,2025-01-01 10:06:29.076192141,emotion
13,High,2.0,A,2025-01-01 08:41:58.076192141,consensus
13,High,2.0,A,2025-01-01 08:56:52.076192141,plan
13,High,2.0,A,2025-01-01 09:18:10.076192141,discuss
14,High,2.0,A,2025-01-01 08:41:08.076192141,monitor
15,High,2.0,A,2025-01-01 08:54:31.076192141,monitor
15,High,2.0,A,2025-01-01 09:11:22.076192141,consensus
15,High,2.0,A,2025-01-01 09:26:51.076192141,emotion
16,High,2.0,A,2025-01-01 08:49:55.076192141,emotion
16,High,2.0,A,2025-01-01 09:14:40.076192141,discuss
16,High,2.0,A,2025-01-01 09:34:05.076192141,plan
16,High,2.0,A,2025-01-01 10:01:23.076192141,emotion
18,High,2.0,A,2025-01-01 08:38:17.076192141,cohesion
18,High,2.0,A,2025-01-01 08:53:10.076192141,consensus
